Death,Loss
1.477121255,5.397940009
2.056904851,3.973127854
1.301029996,3.672097858
1.322219295,3.698970004
1.204119983,3
2.462397998,4.356025857
2.96425963,5.477121255
1.301029996,4.740362689
1.176091259,3.342422681
1.698970004,4.653212514
1.819543936,5.222716471
2.220108088,5.079181246
2.164352856,5.012837225
1.041392685,2.593286067
1.041392685,4.771293443
1.447158031,4.612561356
2.301029996,3.954242509
2.176091259,5.544068044
1.62324929,4.977723605
1.880813592,5
1.447158031,5.602059991
1.176091259,3.234010818
1.544068044,3.161368002
1,6.342422681
1.491361694,3
1.146128036,5.301029996
2.899273187,6.491361694
1.959041392,5.646403726
2.356025857,5.477121255
1.672097858,2.698970004
1.51851394,3
1,6
1.792391689,3.753123245
1.342422681,3.698970004
1.041392685,4.586587305
1.431363764,7.064457989
1,3.342422681
1.380211242,3.452706227
2.222716471,5.698970004
2.217483944,5.73239376
1.51851394,4.301029996
2.250420002,3.62324929
1.591064607,3.602059991
1.462397998,2
1.462397998,3.176091259
1.342422681,1.477121255
2.264817823,6.62324929
0.477121255,2.698970004
1.414973348,5
0,4.301029996
0,1.698970004
1.361727836,6.075546961
1.913813852,4.378397901
1.113943352,5.806179974
1.740362689,4.763427994
2.187520721,4.554210444
1.041392685,6.255272505
1.477121255,5.900913068
1.556302501,5.84509804
1.113943352,3.204119983
1.903089987,5.301029996
1.477121255,5.653694795
1.431363764,4.51851394
1.86923172,4.041392685
1.62324929,3.517459827
1.146128036,2.376576957
1.755874856,3.523746467
1.230448921,4.477121255
1.462397998,5.065579715
2.428134794,5.195899652
1.477121255,4.204119983
0.301029996,4.602059991
1.880813592,3.597804842
1.477121255,3
1.361727836,6.012081823
2.247973266,5.130333768
1.653212514,6.602059991
1.579783597,5.204119983
2.371067862,4.462397998
3.355259906,6.698970004
3.08278537,5.602059991
1.707570176,3.602059991
1.113943352,3.390051496
2.633468456,6.897077003
1.477121255,6.683947131
1.361727836,3.84509804
1.301029996,5
1.322219295,4.422721126
1.204119983,4.875061263
1.176091259,2.431363764
1.146128036,6.238046103
1.301029996,4.740362689
2.537819095,5.447158031
3.016615548,5.447158031
3.971043792,6.217483944
4.17868924,5.944482672
4.289811839,6.643452676
4.302958319,6.643452676
2.460897843,4.903089987
2.089905111,6.387389826
1.579783597,5.382017043
1.204119983,6.527629901
